Vehicle ID: 201920, Vehicle Condition: Ryder Verified, Make: CHEVROLET MOTOR DIV., Model: LCF 4500HD, Price: 41338, Year: 2020, Miles: 138320, Gross Weight: 14500, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/201920_2020_CHEV_LCF_4500HD_FL-1.jpg
Vehicle ID: 202479, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: NEW CASCADIA PX12664, Price: 49761, Year: 2021, Miles: 584902, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/202479_2021_FRTL_NEW_CASCADIA_PX12664_FL-1.jpg
Vehicle ID: 210493, Vehicle Condition: Ryder Verified, Make: NAVISTAR INTERNATIONAL, Model: MV607 (4X2), Price: 68725, Year: 2019, Miles: 245369, Gross Weight: 25999, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/210493_2019_INTL_MV607_%284X2%29_FL-1.jpg
Vehicle ID: 211017, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: NEW CASCADIA PX12664, Price: 40195, Year: 2021, Miles: 639266, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/211017_2021_FRTL_NEW_CASCADIA_PX12664_FL-1.jpg
Vehicle ID: 211018, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER, Model: NEW CASCADIA PX12664, Price: 35000, Year: 2021, Miles: 736907, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: Auto, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/211018_2021_FRTL_NEW_CASCADIA_PX12664_FL-1.jpg
Vehicle ID: 211849, Vehicle Condition: Ryder Verified, Make: ISUZU, Model: NPR, Price: 44561, Year: 2019, Miles: 217253, Gross Weight: 14500, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/211849_2019_ISUZ_NPR_FL-1.jpg
Vehicle ID: 221064, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 38750, Year: 2018, Miles: 249023, Gross Weight: 26000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221064_2018_FRTL_M2_106_FL-1.jpg
Vehicle ID: 221067, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 125, Price: 55451, Year: 2019, Miles: 529981, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: MANUAL, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221067_2019_FRTL_CASCADIA_125_FL-1.jpg
Vehicle ID: 221068, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: CASCADIA 125, Price: 47307, Year: 2019, Miles: 629876, Gross Weight: 80000, Rear Axle Type: TANDEM AXLE, Transmission Type: MANUAL, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221068_2019_FRTL_CASCADIA_125_FL-1.jpg
Vehicle ID: 221164, Vehicle Condition: Ryder Verified, Make: FREIGHTLINER/MERCEDES, Model: M2 106, Price: 54876, Year: 2018, Miles: 240271, Gross Weight: 33000, Rear Axle Type: SINGLE AXLE, Transmission Type: AUTO, Img Url: https://res.cloudinary.com/ryder-trucks/image/upload/w_auto/q_auto/f_auto/v1/usedtrucks/221164_2018_FRTL_M2_106_FL-1.jpg
